id|code|description|typeCode|type
1851|C29s y mas pesados  % p/p|C29s y mas pesados  % p/p GC|DETE|Determinación
1824|C2s % p/p|C2s % p/p GC|DETE|Determinación
1060|005C3 (D7833)-%Molar|C3 (D7833)-%Molar|DETE|Determinación
835|C3 (ID3552)|C3 (ID3552)|DETE|Determinación
1933|004C3 D6729 (%p/p)|C3 D6729 (%p/p)|DETE|Determinación
841|C3-  (ID3552)|C3-  (ID3552)|DETE|Determinación
1065|006C3- (D7833)-%Molar|C3- (D7833)-%Molar|DETE|Determinación
368|006C3- .(D7833)|C3- .(D7833)|DETE|Determinación
376|07C3- .(ID3657)|C3- .(ID3657)|DETE|Determinación
476|08C3- .(PASA907)|C3- .(PASA907)|DETE|Determinación
163|11C3- .(RGA)|C3- .(RGA)|DETE|Determinación
768|040C3.(D6729)|C3.(D6729)|DETE|Determinación
941|005C3.(D7833)|C3.(D7833)|DETE|Determinación
363|005C3.(D7833)|C3.(D7833)|DETE|Determinación
375|05C3.(ID3657)|C3.(ID3657)|DETE|Determinación
475|06C3.(PASA907)|C3.(PASA907)|DETE|Determinación
162|09C3.(RGA)|C3.(RGA)|DETE|Determinación
1966|082C3= D6729 (%p/p)|C3= D6729 (%p/p)|DETE|Determinación
1825|C3s % p/p|C3s % p/p GC|DETE|Determinación
1619|C3s (ml/100ml) ASTM D2163|C3s (ml/100ml) ASTM D2163|DETE|Determinación
886|C4 (PASA176)|C4 (PASA176)|DETE|Determinación
154|15C4 s. (ID3646)|C4 s. (ID3646)|DETE|Determinación
164|13C4 s.(RGA)|C4 s.(RGA)|DETE|Determinación
1606|C4+  (RGA)|C4+  (RGA)|DETE|Determinación
396|009C4+ .(D7833)|C4+ .(D7833)|DETE|Determinación
458|14C4+ .(ID3646)|C4+ .(ID3646)|DETE|Determinación
1295|C4- (D6729)|C4- (D6729)|DETE|Determinación
1061|009C4- (D7833)-%Molar|C4- (D7833)-%Molar|DETE|Determinación
838|C4- (ID3552)|C4- (ID3552)|DETE|Determinación
364|009C4- .(D7833)|C4- .(D7833)|DETE|Determinación
378|15C4- .(ID3657)|C4- .(ID3657)|DETE|Determinación
479|12C4- .(PASA907)|C4- .(PASA907)|DETE|Determinación
842|C4- 1  (ID3552)|C4- 1  (ID3552)|DETE|Determinación
1380|C4-(D6729])|C4-(D6729)|DETE|Determinación
456|009C4.(D7833)|C4.(D7833)|DETE|Determinación
51|11C4.(ID3646)|C4.(ID3646)|DETE|Determinación
377|09C4.(ID3657)|C4.(ID3657)|DETE|Determinación
477|10C4.(PASA907)|C4.(PASA907)|DETE|Determinación
1614|10C4.(RGA)|C4.(RGA)|DETE|Determinación
947|390C4= (D6729)|C4= (D6729)|DETE|Determinación
1967|084C4= D6729 (%p/p)|C4= D6729 (%p/p)|DETE|Determinación
1826|C4s % p/p|C4s % p/p GC|DETE|Determinación
1754|C4s (% p/p)|C4s (% p/p)|DETE|Determinación
1621|C4s (ml/100ml) ASTM D2163|C4s (ml/100ml) ASTM D2163|DETE|Determinación
1298|C5 (D6729)|C5 (D6729)|DETE|Determinación
1382|C5 (D6729)%wt|C5 (D6729)%wt|DETE|Determinación
1077|C5 (D6733)|C5 (D6733)|DETE|Determinación
846|16C5 (RGA)|C5 (RGA)|DETE|Determinación
1905|098C5 y mas pesados (%v/v) RGA|C5 y mas pesados (%v/v) RGA|DETE|Determinación
1381|C5(D6729)|C5(D6729)|DETE|Determinación
369|017C5+ .(D7833)|C5+ .(D7833)|DETE|Determinación
53|19C5+ .(ID3646)|C5+ .(ID3646)|DETE|Determinación
1677|017C5- (D7833)|C5- (D7833)|DETE|Determinación
40|016C5.(D7833)|C5.(D7833)|DETE|Determinación
944|014C5.(D7833)|C5.(D7833)|DETE|Determinación
621|14C5.(PASA907)|C5.(PASA907)|DETE|Determinación
948|400C5= (D6729)|C5= (D6729)|DETE|Determinación
1968|086C5= D6729 (%p/p)|C5= D6729 (%p/p)|DETE|Determinación
1827|C5s % p/p|C5s % p/p GC|DETE|Determinación
1373|C6 (D6729)|C6 (D6729)|DETE|Determinación
1722|006C6 Serie Homologa|C6 Serie Homologa ppm p/p|DETE|Determinación
1757|C6 y mas pesados (%p/p)|C6 y mas pesados (%p/p)|DETE|Determinación
1801|010C6+ (%v/v) RGA|C6+ (%v/v) RGA|DETE|Determinación
1309|C6+ (D6729)|C6+ (D6729)|DETE|Determinación
887|C6+ (PASA176)|C6+ (PASA176)|DETE|Determinación
847|17C6+ (RGA)|C6+ (RGA)|DETE|Determinación
759|021C6+(D7833)|C6+(PASA281)|DETE|Determinación
945|021C6+.(D7833)|C6+.(D7833)|DETE|Determinación
1678|020C6- (D7833)|C6- (D7833)|DETE|Determinación
41|019C6.(D7833)|C6.(D7833)|DETE|Determinación
742|C6.(PASA907)|C6.(PASA907)|DETE|Determinación
949|410C6= (D6729)|C6= (D6729)|DETE|Determinación
1969|088C6= D6729 (%p/p)|C6= D6729 (%p/p)|DETE|Determinación
1828|C6s % p/p|C6s % p/p GC|DETE|Determinación
1374|C7 (D6729)|C7 (D6729)|DETE|Determinación
1721|007C7 Serie Homologa|C7 Serie Homologa ppm p/p|DETE|Determinación
1296|C7+ %v/v (D6729)|C7+ %v/v (D6729)|DETE|Determinación
42|500C7+.(ASTM D6729)|C7+.(ASTM D6729)|DETE|Determinación
1679|023C7- (D7833)|C7- (D7833)|DETE|Determinación
950|420C7= (D6729)|C7= (D6729)|DETE|Determinación
1970|090C7= D6729 (%p/p)|C7= D6729 (%p/p)|DETE|Determinación
1829|C7s % p/p|C7s % p/p  GC|DETE|Determinación
1375|C8 (D6729)|C8 (D6729)|DETE|Determinación
1720|008C8 Serie Homologa|C8 Serie Homologa ppm p/p|DETE|Determinación
1680|025C8- (D7833)|C8- (D7833)|DETE|Determinación
169|17C8.(ID3591)|C8.(ID3591)|DETE|Determinación
951|430C8= (D6729)|C8= (D6729)|DETE|Determinación
1971|092C8= D6729 (%p/p)|C8= D6729 (%p/p)|DETE|Determinación
1830|C8s % p/p|C8s % p/p GC|DETE|Determinación
1376|C9 (D6729)|C9 (D6729)|DETE|Determinación
1090|080C9 (EPA5021)|C9 (EPA5021)|DETE|Determinación
1377|C9 + (D6729)|C9 + (D6729)|DETE|Determinación
1719|009C9 Serie Homologa|C9 Serie Homologa ppm p/p|DETE|Determinación
1681|027C9- (D7833)|C9- (D7833)|DETE|Determinación
952|440C9= (D6729)|C9= (D6729)|DETE|Determinación
1972|094C9= D6729 (%p/p)|C9= D6729 (%p/p)|DETE|Determinación
1831|C9s % p/p|C9s % p/p GC|DETE|Determinación
317|Cadmio (ID3525)|Cadmio (ID3525)|DETE|Determinación
1280|Cadmio (Prov.Ext.)|Cadmio (Prov.Ext.)|DETE|Determinación
1593|Cadmio por AA|Cadmio por AA (ppm p/p)|DETE|Determinación
1272|Calcio (Prov.Ext.)|Calcio (Prov.Ext.)|DETE|Determinación
409|Calcio en ClK|Calcio en ClK|DETE|Determinación
196|Calculo cte. visc./gravedad|Calculo cte. visc./gravedad|DETE|Determinación
1611|calibrar|calibrar|CALI|Calibración
1186|Calor calorifico superior.|Calor calorifico superior.|DETE|Determinación
683|Capacidad tamb. Adhesivo vegetal|Capacidad tamb. Adhesivo vegetal|DETE|Determinación
678|Caract. Ancho resto texto NBR|Caract. Ancho resto texto NBR|DETE|Determinación
677|Caract. Largo resto texto NBR|Caract. Largo resto texto NBR|DETE|Determinación
680|Caract.espacio resto texto  NBR|Caract.espacio resto texto  NBR|DETE|Determinación
679|Caract.Sep palab.resto texto NBR|Caract.Sep palab.resto texto NBR|DETE|Determinación
982|Caracterizaci½n IR del modificad|Caracterizaci½n IR del modificador|DETE|Determinación
737|Caracterizacion del producto ...|Caracterizacion del producto ...|DETE|Determinación
894|Carbon por Calcinacion (UOP275)|Carbon por Calcinacion a 900C (UOP275)|DETE|Determinación
1180|Carbon residual Conradson|Carbon residual Conradson|DETE|Determinación
250|Carbonato de potasio(PASA073)|Carbonato de potasio(PASA073)|DETE|Determinación
405|Carbonato de sodio(PASA303)|Carbonato de sodio(PASA303)|DETE|Determinación
435|Carbonato de sodio|Carbonato de sodioPASA074)|DETE|Determinación
428|Carbonato en nitrito de sodio|Carbonato en nitrito de sodio|DETE|Determinación
1365|Carbonato en Potasa (ID3582)|Carbonato en Potasa (ID3582)|DETE|Determinación
192|Carbonilo como acetaldehido|Carbonilo como acetaldehido|DETE|Determinación
764|Carbonilo en Soda Caustica|Carbonilo en Soda Caustica|DETE|Determinación
1368|Carbonilos en BTD|Carbonilos en BTD|DETE|Determinación
1238|Carga de la pelicula (IRAM6690)|Carga de la pelicula (IRAM6690)|DETE|Determinación
1655|030CAROM %p/p (UOP523)|CAROM %p/p (UOP523)|DETE|Determinación
1651|10CAROM ppm p/p (UOP776)|CAROM ppm p/p (UOP776)|DETE|Determinación
622|Caudal|Caudal|DETE|Determinación
9|Caustico %.(ID3582)|Caustico %.(ID3582)|DETE|Determinación
1183|Cenizas (ASTM D 482)|Cenizas (ASTM D 482)|DETE|Determinación
18|Cenizas en caucho.(PASA077/1)|Cenizas en caucho.(PASA077/1)|DETE|Determinación
960|295CH (D6729)|CH (D6729)|DETE|Determinación
1957|064CH D6729 (%p/p)|CH D6729 (%p/p)|DETE|Determinación
318|Cianuros (ID3531)|Cianuros (ID3531)|DETE|Determinación
1278|Cianuros (Prov.Ext.)|Cianuros (Prov.Ext.)|DETE|Determinación
451|18Ciclopentano.(D6733)|Ciclopentano.(D6733)|DETE|Determinación
815|Ciclos de conc.|Ciclos de conc.|DETE|Determinación
1312|Cilopentadieno % p/p (D6729)|Cilopentadieno % p/p (D6729)|DETE|Determinación
840|CIS C4- (ID3552)|CIS C4- (ID3552)|DETE|Determinación
252|Clorato de potasio en potasa|Clorato de potasio en potasa|DETE|Determinación
906|Clordano (Prov.Ext.)|Clordano (Prov.Ext.)|DETE|Determinación
933|Cloro Activo Residual (HACH-080)|Cloro Activo Residual (HACH-080)|DETE|Determinación
1346|035Cloro Benceno (ID3534)|Cloro Benceno (ID3534)|DETE|Determinación
891|Cloro en Catalizador(UOP291)|Cloro en Catalizador(UOP291)|DETE|Determinación
437|Cloro libre|Cloro libre|DETE|Determinación
1293|Cloro Libre (Prov.Ext.)|Cloro Libre (Prov.Ext.)|DETE|Determinación
806|Cloro libre.(HACH080)|Cloro libre.(HACH080)|DETE|Determinación
1297|Cloro Total (Prov.Ext.)|Cloro Total (Prov.Ext.)|DETE|Determinación
1482|Clorobenceno (EPA5021)|Clorobenceno (EPA5021)|DETE|Determinación
2020|Cloroformo ( Prov.Ext.)|Cloroformo ( Prov.Ext.)|DETE|Determinación
1343|015Cloroformo (ID3534)|Cloroformo (ID3534)|DETE|Determinación
263|Cloruro (como AgCl)|Cloruro (como AgCl)|DETE|Determinación
407|Cloruro de K. Pureza.(PASA084)|Cloruro de K. Pureza.(PASA084)|DETE|Determinación
251|Cloruro de potasio en potasa|Cloruro de potasio en potasa|DETE|Determinación
411|Cloruro de sodio. Pureza|Cloruro de sodio. Pureza|DETE|Determinación
925|Cloruro de Vinilo ( Prov.Ext.)|Cloruro de Vinilo ( Prov.Ext.)|DETE|Determinación
436|Cloruro en soda caustica|Cloruro en soda caustica|DETE|Determinación
1443|Cloruros (ppm )|Cloruros (ppm)|DETE|Determinación
461|Cloruros en gases.(PASA091)|Cloruros en gases.(PASA091)|DETE|Determinación
194|Cloruros en hidroc.(ID3554)|Cloruros en hidroc.(ID3554)|DETE|Determinación
77|Cloruros en Nafta.(UOP606-78)|Cloruros en Nafta.(UOP606-78)|DETE|Determinación
1915|Cloruros mg/Kg (UOP588-MOD)|Cloruros mg/Kg (UOP588-MOD)|DETE|Determinación
807|Cloruros. (Prov.Ext.)|Cloruros. (Prov.Ext.)|DETE|Determinación
1764|CO (% p/p)|CO (% p/p)|DETE|Determinación
1786|220CO (%v/v) RGA|CO (%v/v) RGA|DETE|Determinación
954|12CO (RGA)|CO (RGA)|DETE|Determinación
1337|CO CHIMENEA|CO CHIMENEA|DETE|Determinación
1805|CO ppm v/v|CO ppm v/v|DETE|Determinación
1765|CO2 (% p/p)|CO2 (% p/p)|DETE|Determinación
1780|150CO2 (%v/v) RGA|CO2 (%v/v) RGA|DETE|Determinación
953|04CO2 (RGA)|CO2 (RGA)|DETE|Determinación
1336|CO2 CHIMENEA|CO2 CHIMENEA|DETE|Determinación
43|CO2 por GLC con metanizador|CO2 con metanizador|DETE|Determinación
1564|Coagulante residual|Coagulante residual (PASA920)|DETE|Determinación
319|Cobre (ID3533)|Cobre (ID3533)|DETE|Determinación
1285|Cobre (Prov.Ext.)|Cobre (Prov.Ext.)|DETE|Determinación
1114|Cobre por AA llama (PASA881)|Cobre por AA llama (PASA881)|DETE|Determinación
1624|Cobre ppb|Cobre ppb|DETE|Determinación
1500|Coeficiente de Uniformidad|Coeficiente de Uniformidad|DETE|Determinación
226|Coeficiente especif de extincion|Coeficiente especif de extincion|DETE|Determinación
1276|Coliformes fecales (Prov.Ext.)|Coliformes fecales (Prov.Ext.)|DETE|Determinación
972|Coliformes fecales|Coliformes fecales(EFLW043)|DETE|Determinación
1362|Colif. fecales (Pres/Aus)|Coliformes fecales(Pres/Aus)|DETE|Determinación
1275|Coliformes Totales (ProvExt.)|Coliformes Totales (ProvExt.)|DETE|Determinación
1887|Color (incoloro-coloreado)|Color (incoloro-coloreado)|DETE|Determinación
224|Color a 425 nm en Irganox 1520|Color a 425 nm en Irganox 1520|DETE|Determinación
205|Color ASTM D1500|Color ASTM D1500|DETE|Determinación
2036|Color ASTM escala equipo|Color ASTM escala equipo|DETE|Determinación
204|Color Gardner|Color Gardner|DETE|Determinación
1199|Color Hidrocarburos|Color Hidrocarburos|DETE|Determinación
871|Color imp. identificacion caucho|Color imp. identificacion caucho|DETE|Determinación
709|Color impr.letr bolsa poli R1913|Color impr.letr bolsa poli R1913|DETE|Determinación
708|Color impr.logo bolsa poli R1913|Color impr.logo bolsa poli R1913|DETE|Determinación
649|Color impre. identificacion 1502|Color impre. identificacion 1502|DETE|Determinación
852|Color Impre. identificacion 1712|Color Impre. identificacion 1712L|DETE|Determinación
654|Color impre.identificacion 1510|Color impre.identificacion 1510|DETE|Determinación
660|Color impre.identificacion BLT|Color impre.identificacion BLT|DETE|Determinación
657|Color impre.identificacion1510LM|Color impre.identificacion1510LM|DETE|Determinación
655|Color impre.identificacion1712|Color impre.identificacion1712|DETE|Determinación
656|Color impre.identificacion1721|Color impre.identificacion1721|DETE|Determinación
659|Color impre.identificacionBJJLT|Color impre.identificacionBJJLT|DETE|Determinación
658|Color impre.identificacionBJLT|Color impre.identificacionBJLT|DETE|Determinación
661|Color impre.identificacionCJLT|Color impre.identificacionCJLT|DETE|Determinación
662|Color impre.identificacionCLT|Color impre.identificacionCLT|DETE|Determinación
1274|Color Pt/Co (Prov.Ext.)|Color Pt/Co (Prov.Ext.)|DETE|Determinación
59|Color PtCo|Color PtCo|DETE|Determinación
69|Color SAYBOLT|Color SAYBOLT|DETE|Determinación
1389|Color visual|Color visual|DETE|Determinación
1153|Color.|Color.|DETE|Determinación
257|Comp. activo en S.F.S.|Comp. activo en S.F.S.|DETE|Determinación
861|090Comp. Pesados (ID3534)|Comp. Pesados (ID3534)|DETE|Determinación
299|15Comp. pesados en efl. liq.|Comp. pesados en efl. liq.|DETE|Determinación
1686|04Compuestos de azufre C10+|Compuestos de azufre C10+ GC-PFPD|DETE|Determinación
402|Conc. de amina|Conc. de amina|DETE|Determinación
181|Conc. de Na(OH)(PASA720)|Conc. de Na(OH)(PASA720)|DETE|Determinación
805|Conductividad (Prov.Ext.)|Conductividad (Prov.Ext.)|DETE|Determinación
2002|Conductividad (uS/cm) D1125|Conductividad (uS/cm) D1125|DETE|Determinación
1175|Conductividad -ASTM D2624|Conductividad -ASTM D2624|DETE|Determinación
1159|Construc s/plano FD-5995 Rev7|Construc s/plano FD-5995 Rev7|DETE|Determinación
1037|Construcci½n de acuerdo plano FD|Construcci½n de acuerdo plano FD-6038 Rev 0|DETE|Determinación
977|Construcci½n s/plano FD-5995 Rev|Construcci½n s/plano FD-5995 Rev 5|DETE|Determinación
823|Cont. no Volatiles|Cont. no Volatiles|DETE|Determinación
934|Contaminacion (PASA770)|Contaminacion (PASA770)|DETE|Determinación
1450|Contenido de Agua % p/p|Contenido de Agua % p/p (IRAM6719)|DETE|Determinación
689|Control plegado|Control plegado|DETE|Determinación
85|Corrosion al cobre arom. ID3561|Corrosion al cobre arom. ID3561|DETE|Determinación
70|Corrosion al cobre en HC(ID3563)|Corrosion al cobre en HC(ID3563)|DETE|Determinación
94|Corrosion al cobre LPG. ID3562|Corrosion al cobre LPG. ID3562|DETE|Determinación
1166|Corrosion lamina de Plata -IP227|Corrosion lamina de Plata -IP227|DETE|Determinación
1955|060CP D6729 (%p/p)|CP D6729 (%p/p)|DETE|Determinación
793|280CP. (D6729)|CP. (D6729)|DETE|Determinación
1130|Creatinina en orina|Creatinina en orina|DETE|Determinación
1009|Cromatografia del modificador|Cromatografia del modificador|DETE|Determinación
321|Cromo (Cr III) (ID3511)|Cromo (Cr III) (ID3511)|DETE|Determinación
1569|Cromo (Cr VI) (EFLS007)|Cromo (Cr VI) (EFLS007)|DETE|Determinación
320|Cromo (Cr VI) (ID3511)|Cromo (Cr VI) (ID3511)|DETE|Determinación
1281|Cromo (Prov.Ext.)|Cromo (Prov.Ext.)|DETE|Determinación
1992|Cromo en aire (Prov.Ext.)|Cromo en aire (Prov.Ext.)|DETE|Determinación
1594|Cromo por AA (ppm p/p)|Cromo por AA (ppm p/p)|DETE|Determinación
1455|Cromo por Absorcion Atomica.|Cromo por Absorcion Atomica.(EFLW060)|DETE|Determinación
1490|Cromo Total por AA|Cromo Total por AA|DETE|Determinación
1684|Cromo ug/m3 sobre TSP|Cromo ug/m3 sobre TSP|DETE|Determinación
2009|Cryptospodiridium ( Prov.Ext.)|Cryptospodiridium ( Prov.Ext.)|DETE|Determinación
64|Cumeno (ASTMD5135)|Cumeno (ASTMD5135)|DETE|Determinación
193|13Cumeno ppm.(ID3591)|Cumeno ppm.(ID3591)|DETE|Determinación
143|15Cumeno.(ID3591)|Cumeno.(ID3591)|DETE|Determinación
462|12Cumeno.(ID3591)|Cumeno.(ID3591)|DETE|Determinación
313|D.B.O.|D.B.O.|DETE|Determinación
121|D.E.H.A.|D.E.H.A.|DETE|Determinación
1607|D.Q.O Filtrada|D.Q.O Filtrada|DETE|Determinación
314|D.Q.O.|D.Q.O.|DETE|Determinación
907|DDT (total+isomero)(Prov.Ext.)|DDT (total+isomero)(Prov.Ext.)|DETE|Determinación
1440|DEHA ppm|DEHA ppm|DETE|Determinación
1423|Delta Fosfato ppm p/v|Delta Fosfato ppm p/v|DETE|Determinación
1091|Delta Mooney (7 - 1) ML|Delta Mooney (7 - 1) ML|DETE|Determinación
115|Delta Mooney SBR|Delta Mooney SBR|DETE|Determinación
1520|Demanda de Permanganato|Demanda de Permanganato|DETE|Determinación
1225|Densidad a 15C. ASTM D3142|Densidad a 15C. ASTM D3142|DETE|Determinación
1209|Densidad a 25/25C.IRAM6586|Densidad a 25/25C.IRAM6586|DETE|Determinación
1218|Densidad a 25/25C.IRAM6587|Densidad a 25/25C.IRAM6587|DETE|Determinación
874|Densidad c/dens.autom.20C-ID3650|Densidad c/dens.autom.20C-ID3650|DETE|Determinación
66|Densidad dens. aut. a 15C|Densidad dens. aut. a 15C|DETE|Determinación
97|Densidad gas lic.(PASA122)|Densidad gas lic.(PASA122 - ASTM D1657)|DETE|Determinación
1164|Densidad relativa (ASTM D1298)|Densidad relativa (ASTM D1298)|DETE|Determinación
401|Densidad.(PASA128)|Densidad.(PASA128)|DETE|Determinación
1014|09Dest. punto seco (ID3648)|Dest. punto seco (ID3648)|DETE|Determinación
441|Destil. 5 ml.(ID3612)|Destil. 5 ml.(ID3612)|DETE|Determinación
442|Destil. 95 ml.(ID3612)|Destil. 95 ml.(ID3612)|DETE|Determinación
244|Destil. 95%.(ID3612)|Destil. 95%.(ID3612)|DETE|Determinación
185|Destil. 97%.(ID3612)|Destil. 97%.(ID3612)|DETE|Determinación
1227|Destil. a 190C s/destil. a 360C|Destil. a 190C s/destil. a 360C.IRAM6595|DETE|Determinación
1228|Destil. a 225C s/destil. a 360C|Destil. a 225C s/destil. a 360C.IRAM6595|DETE|Determinación
1229|Destil. a 260C s/destil. a 360C|Destil. a 260C s/destil. a 360C.IRAM6595|DETE|Determinación
1230|Destil. a 316C s/destil. a 360C|Destil. a 316C s/destil. a 360C.IRAM6595|DETE|Determinación
1813|Destil. Evaporado a 10 %V (D86)|Destil. Evaporado a 10 %V (D86)|DETE|Determinación
1814|Destil. Evaporado a 50%V (D86)|Destil. Evaporado a 50%V (D86)|DETE|Determinación
1815|Destil. Evaporado a 90 %V (D86)|Destil. Evaporado a 90 %V (D86)|DETE|Determinación
222|Destil. no fenolico|Destil. no fenolico|DETE|Determinación
73|981Destil. primera gota. ID3564|Destil. primera gota.(ID3564)|DETE|Determinación
67|Destil. primera gota.(ID3612)|Destil. primera gota.(ID3612)|DETE|Determinación
88|05Destil. primera gota.(ID3648)|Destil. primera gota.(ID3648)|DETE|Determinación
74|993Destil. punto Final.ID3564|Destil. punto Final.(ID3564)|DETE|Determinación
89|09Destil. punto final.(ID3648)|Destil. punto final.(ID3648)|DETE|Determinación
421|02Destil. punto final.(PASA129)|Destil. punto final.(PASA129)|DETE|Determinación
68|Destil. punto seco.(ID3612)|Destil. punto seco.(ID3612)|DETE|Determinación
1290|982Destil. Recup. 5%(ID3564)|Destil. Recup. 5%(ID3564)|DETE|Determinación
420|01Destil. recup.10% (PASA129)|Destil. recup.10% (PASA129)|DETE|Determinación
354|983Destil. Recup.10%ID3564|Destil. Recup.10%(ID3564)|DETE|Determinación
1413|06Destil. Recup.10%(ID3648)|Destil. Recup.10%(ID3648)|DETE|Determinación
355|984Destil. Recup.20% ID3564|Destil. Recup.20%(ID3564)|DETE|Determinación
356|985Destil. Recup.30% ID3564|Destil. Recup.30%(ID3564)|DETE|Determinación
357|986Destil. Recup.40% ID3564|Destil. Recup.40%(ID3564)|DETE|Determinación
79|987Destil. Recup.50% ID3564|Destil. Recup.50%(ID3564)|DETE|Determinación
348|07Destil. Recup.50%(ID3648)|Destil. Recup.50%(ID3648)|DETE|Determinación
358|988Destil. Recup.60% ID3564|Destil. Recup.60%(ID3564)|DETE|Determinación
359|989Destil. Recup.70% ID3564|Destil. Recup.70%(ID3564)|DETE|Determinación
360|990Destil. Recup.80% ID3564|Destil. Recup.80%(ID3564)|DETE|Determinación
361|991Destil. Recup.90% ID3564|Destil. Recup.90%(ID3564)|DETE|Determinación
1414|08Destil. Recup.90%(ID3648)|Destil. Recup.90%(ID3648)|DETE|Determinación
1291|992Destil. Recup.95% ID3564|Destil. Recup.95%(ID3564)|DETE|Determinación
84|Det. de  SO2|Det. de  SO2|DETE|Determinación
103|Det. de SH2|Det. de SH2|DETE|Determinación
762|29DETBZ. (ID3591)|DETBZ. (ID3591)|DETE|Determinación
322|Deterg. biodegr.|Deterg. biodegr.|DETE|Determinación
908|Detergentes (Prov.Ext.)|Detergentes (Prov.Ext.)|DETE|Determinación
671|Determ. de peso en gr|Determ. de peso en gr|DETE|Determinación
993|Determinaci½n % de IPHA|Determinaci½n % de IPHA|DETE|Determinación
670|Determinacion de peso en Kg|Determinacion de peso en Kg|DETE|Determinación
669|Determinacion de Peso s/ humedad|Determinacion de Peso s/ humedad|DETE|Determinación
651|Determinacion diam.ext.cilindro|Determinacion diam.ext.cilindro|DETE|Determinación
653|Determinacion diam.ext.rollo|Determinacion diam.ext.rollo|DETE|Determinación
652|Determinacion diam.int.cilindro|Determinacion diam.int.cilindro|DETE|Determinación
695|Determinacion dureza|Determinacion dureza|DETE|Determinación
713|Diametro cabeza clavos pta Paris|Diametro cabeza clavos pta Paris|DETE|Determinación
712|Diametro clavos punta Paris|Diametro clavos punta Paris|DETE|Determinación
1685|02Dibenzotiofeno GC-PFPD|Dibenzotiofeno GC-PFPD ppm p/p|DETE|Determinación
1821|030Dibromoclorometano ppb p/v|Dibromoclorometano ppb p/v|DETE|Determinación
1491|Diciclopentadieno(D6729)|Diciclopentadieno(D6729)|DETE|Determinación
1327|Dietanolamina % p/v|Dietanolamina % p/v|DETE|Determinación
1316|Dietanolamina (ppm p/p)|Dietanolamina (ppm p/p)|DETE|Determinación
234|Dietilamina en D.E.H.A.|Dietilamina en D.E.H.A.|DETE|Determinación
864|Dietilbenceno .ppm(ID3591)|Dietilbenceno .ppm(ID3591)|DETE|Determinación
149|17Dietilbenceno.(ID3591)|Dietilbenceno.(ID3591)|DETE|Determinación
1653|010Dietilenglicol %p/p (UOP523)|Dietilenglicol %p/p (UOP523)|DETE|Determinación
233|Dietilhidroxilamina|Dietilhidroxilamina|DETE|Determinación
1929|Difenilamina (Externo)|Difenilamina (Externo)|DETE|Determinación
467|23Difeniletano.(ID3591)|Difeniletano.(ID3591)|DETE|Determinación
1862|Diferencia de peso (g)|Diferencia de peso (g)|DETE|Determinación
1036|Dimensi½n segœn plano FD-6038 Re|Dimensi½n segœn plano FD-6038 Rev 0|DETE|Determinación
665|Dimensiones plano ES-14-4689/7|Dimensiones plano ES-14-4689/7|DETE|Determinación
668|Dimensiones plano ES-14-6200/5|Dimensiones plano ES-14-6200/5|DETE|Determinación
632|Dimensiones plano FD-5994/1|Dimensiones plano FD-5994/1|DETE|Determinación
648|Dimensiones plano FD-5995/3|Dimensiones plano FD-5995/3|DETE|Determinación
638|Dimensiones plano FD-6038/0|Dimensiones plano FD-6038/0|DETE|Determinación
976|Dimensiones s/plano FD-5995 Rev7|Dimensiones s/plano FD-5995 Rev7|DETE|Determinación
1158|Dimensiones s/plano FD-5995.Rev7|Dimensiones s/plano FD-5995.Rev7|DETE|Determinación
753|07Dimeros (ID3591)|DIMEROS (ID3591)|DETE|Determinación
998|Dimeros de Btd en Sty|Dimeros de Btd en Sty|DETE|Determinación
10|Dimeros.(PASA138)|Dimeros.(PASA138)|DETE|Determinación
236|Dimetilditiocarbamato de Potasio|Dimetilditiocarbamato de Potasio|DETE|Determinación
457|26Diolefinas.(D7833)|Diolefinas.(D7833)|DETE|Determinación
272|Dioxido de azufre|Dioxido de azufre|DETE|Determinación
1988|Dioxido de azufre (Prov.Ext.)|Dioxido de azufre (Prov.Ext.)|DETE|Determinación
279|Dioxido de azufre(chimenea)|Dioxido de azufre(chimenea)|DETE|Determinación
438|Dioxido de azufre.(PASA430)|Dioxido de azufre.(PASA430)|DETE|Determinación
1553|DIPE ppm (GCMS)|DIPE ppm (GCMS)|DETE|Determinación
1079|Direccion del viento|Direccion del viento|DETE|Determinación
1070|DiVinilBenceno (ID5803)|DiVinilBenceno (ID5803)|DETE|Determinación
1974|0732DMCH D6729 (%p/p)|DMCH D6729 (%p/p)|DETE|Determinación
798|330DMCH. (D6729)|DMCH. (D6729)|DETE|Determinación
1958|066DMCP D6729 (%p/p)|DMCP D6729 (%p/p)|DETE|Determinación
795|300DMCP. (D6729)|DMCP. (D6729)|DETE|Determinación
1891|DMS -  ASTM D6228 (mg/m3)|DMS -  ASTM D6228 (mg/m3)|DETE|Determinación
71|Doctor Test|Doctor Test|DETE|Determinación
1923|DRO (EPA 8015B) ppm p/p|DRO (EPA 8015B) ppm p/p|DETE|Determinación
1543|220DRO (EPA 8015B) ppm p/v|DRO (EPA 8015B) ppm p/v|DETE|Determinación
1232|Ductilidad a 15.5 C.IRAM 6579|Ductilidad a 15.5 C.IRAM 6579|DETE|Determinación
1216|Ductilidad a 25C.IRAM 6579|Ductilidad a 25C.IRAM 6579|DETE|Determinación
