id|code|description|departmentId|type
1030395|N-35 : BY PASS PURGA DE ACEITE|N-35 : BY PASS PURGA DE ACEITE|151|
1030396|N-36 : ENTRADA REGULADORA 1164|N-36 : ENTRADA REGULADORA 1164|151|
1030397|N-37 : REGULADORA 1164|N-37 : REGULADORA 1164|151|
1030398|N-38 : SALIDA REGULADORA 1164|N-38 : SALIDA REGULADORA 1164|151|
1030399|N-39 : BY PASS REGULADORA 1164|N-39 : BY PASS REGULADORA 1164|151|
1030400|N-40 : BY PASS REGULADORA 1164|N-40 : BY PASS REGULADORA 1164|151|
1030401|N-41 : ENTRADA REGULADORA 1142|N-41 : ENTRADA REGULADORA 1142|151|
1030402|N-42 : REGULADORA 1142|N-42 : REGULADORA 1142|151|
1030403|N-43 : SALIDA REGULADORA 1142|N-43 : SALIDA REGULADORA 1142|151|
1030404|N-44 : BY PASS REGULADORA 1142|N-44 : BY PASS REGULADORA 1142|151|
1030405|N-45 : BY PASS REGULADORA 1142|N-45 : BY PASS REGULADORA 1142|151|
1030406|N-46 : BY PASS REGULADORA 1142|N-46 : BY PASS REGULADORA 1142|151|
1030407|N-47 : BY PASS REGULADORA 1142|N-47 : BY PASS REGULADORA 1142|151|
1030408|N-48 : PURGA SUCC TERCERA ETAPA|N-48 : PURGA SUCC TERCERA ETAPA|151|
1030409|N-49 : ENTRADA REGULADORA 1146|N-49 : ENTRADA REGULADORA 1146|151|
1030410|N-50 : REGULADORA 1146|N-50 : REGULADORA 1146|151|
1030411|N-51 : SALIDA REGULADORA 1146|N-51 : SALIDA REGULADORA 1146|151|
1030412|N-52 : BY PASS REGULADORA 1146|N-52 : BY PASS REGULADORA 1146|151|
1030413|N-53 : BY PASS REGULADORA 1146|N-53 : BY PASS REGULADORA 1146|151|
1030416|N-54 : BLOQ PURGA SEGUNDA ETAPA|N-54 : BLOQ PURGA SEGUNDA ETAPA|151|
1030417|N-55 : BLOQ PURGA SEGUNDA ETAPA|N-55 : BLOQ PURGA SEGUNDA ETAPA|151|
1030418|N-56 : BLOQ PURGA SEGUNDA ETAPA|N-56 : BLOQ PURGA SEGUNDA ETAPA|151|
1030421|N-57 : BLOQ COLECTOR NH3|N-57 : BLOQ COLECTOR NH3|151|
1030422|N-58 : BLOQ COLECTOR NH3|N-58 : BLOQ COLECTOR NH3|151|
1030423|N-59 : BLOQ COLECTOR NH3|N-59 : BLOQ COLECTOR NH3|151|
1030424|N-60 : BLOQ COLECTOR NH3|N-60 : BLOQ COLECTOR NH3|151|
1030425|N-61 : BLOQ COLECTOR NH3|N-61 : BLOQ COLECTOR NH3|151|
1030426|N-62 : BLOQ COLECTOR NH3|N-62 : BLOQ COLECTOR NH3|151|
1030427|N-63 : SALIDA COLECTOR NH3|N-63 : SALIDA COLECTOR NH3|151|
1030428|N-64 : BLOQ COLECTOR NH3|N-64 : BLOQ COLECTOR NH3|151|
1030429|N-65 : PURGA COLECTOR NH3|N-65 : PURGA COLECTOR NH3|151|
1030430|N-66 : PURGA COLECTOR NH3|N-66 : PURGA COLECTOR NH3|151|
1030431|N-67 : ENTRADA COLECTOR OESTE|N-67 : ENTRADA COLECTOR OESTE|151|
1030432|N-68 : ENTRADA COLECTOR ESTE|N-68 : ENTRADA COLECTOR ESTE|151|
1030433|N-69 : BLOQ 1454 DISTRIBUID NH3|N-69 : BLOQ 1454 DISTRIBUID NH3|151|
1030434|N-70 : BLOQ 1464 DISTRIBUID NH3|N-70 : BLOQ 1464 DISTRIBUID NH3|151|
1030435|N-71 : BLOQ 1463 DISTRIBUID NH3|N-71 : BLOQ 1463 DISTRIBUID NH3|151|
1030436|N-72 : BLOQ 1453 DISTRIBUID NH3|N-72 : BLOQ 1453 DISTRIBUID NH3|151|
1030437|N-73 : BLOQ 1457 DISTRIBUID NH3|N-73 : BLOQ 1457 DISTRIBUID NH3|151|
1030438|N-74 : SALIDA DE COMPRESOR ESTE|N-74 : SALIDA DE COMPRESOR ESTE|151|
1030439|N-75 : SALIDA DE COMPRESOR ESTE|N-75 : SALIDA DE COMPRESOR ESTE|151|
1030440|N-76 : SALIDA DE COMPRESOR ESTE|N-76 : SALIDA DE COMPRESOR ESTE|151|
1030441|N-77 : SALIDA DE COMPRESOR ESTE|N-77 : SALIDA DE COMPRESOR ESTE|151|
1030442|N-78 : SALIDA DE COMPRESOR ESTE|N-78 : SALIDA DE COMPRESOR ESTE|151|
1030443|N-79 : SALIDA DE COMPRESOR OESTE|N-79 : SALIDA DE COMPRESOR OESTE|151|
1030444|N-80 : SALIDA DE COMPRESOR OESTE|N-80 : SALIDA DE COMPRESOR OESTE|151|
1030445|N-81 : SALIDA DE COMPRESOR OESTE|N-81 : SALIDA DE COMPRESOR OESTE|151|
